spine,title,director1,director2,director3,director4,director5,country,year
1,"Grand Illusion",Jean Renoir,,,,,France,1937
2,"Seven Samurai",Akira Kurosawa,,,,,Japan,1954
3,"The Lady Vanishes",Alfred Hitchcock,,,,,United Kingdom,1938
4,"Amarcord",Federico Fellini,,,,,Italy,1973
5,"The 400 Blows",François Truffaut,,,,,France,1959
6,"Beauty and the Beast",Jean Cocteau,,,,,France,1946
7,"A Night to Remember",Roy Ward Baker,,,,,United Kingdom,1958
8,"The Killer",John Woo,,,,,Hong Kong,1989
9,"Hard Boiled",John Woo,,,,,Hong Kong,1992
10,"Walkabout",Nicolas Roeg,,,,,United Kingdom,1971
11,"The Seventh Seal",Ingmar Bergman,,,,,Sweden,1957
12,"This Is Spinal Tap",Rob Reiner,,,,,United States,1984
13,"The Silence of the Lambs",Jonathan Demme,,,,,United States,1991
14,"Samurai I: Musashi Miyamoto",Hiroshi Inagaki,,,,,Japan,1954
15,"Samurai II: Duel at Ichijoji Temple",Hiroshi Inagaki,,,,,Japan,1955
16,"Samurai III: Duel at Ganryu Island",Hiroshi Inagaki,,,,,Japan,1956
17,"Salò, or The 120 Days of Sodom",Pier Paolo Pasolini,,,,,Italy,1976
18,"The Naked Kiss",Samuel Fuller,,,,,United States,1964
19,"Shock Corridor",Samuel Fuller,,,,,United States,1963
20,"Sid & Nancy",Alex Cox,,,,,United Kingdom,1986
21,"Dead Ringers",David Cronenberg,,,,,United States,1988
22,"Summertime",David Lean,,,,,United States,1955
23,"RoboCop",Paul Verhoeven,,,,,United States,1987
24,"High and Low",Akira Kurosawa,,,,,Japan,1963
25,"Alphaville",Jean-Luc Godard,,,,,France,1965
26,"The Long Good Friday",John Mackenzie,,,,,United Kingdom,1980
27,"Flesh for Frankenstein",Paul Morrissey,,,,,United States,1973
28,"Blood for Dracula",Paul Morrissey,,,,,United States,1974
29,"Picnic at Hanging Rock",Peter Weir,,,,,Australia,1975
30,"M",Fritz Lang,,,,,Germany,1931
31,"Great Expectations",David Lean,,,,,United Kingdom,1946
32,"Oliver Twist",David Lean,,,,,United Kingdom,1948
33,"Nanook of the North",Robert Flaherty,,,,,United States,1922
34,"Andrei Rublev",Andrei Tarkovsky,,,,,Soviet Union,1966
35,"Diabolique",Henri-Georges Clouzot,,,,,France,1955
36,"The Wages of Fear",Henri-Georges Clouzot,,,,,France,1953
37,"Time Bandits",Terry Gilliam,,,,,United Kingdom,1981
38,"Branded to Kill",Seijun Suzuki,,,,,Japan,1967
39,"Tokyo Drifter",Seijun Suzuki,,,,,Japan,1966
40,"Armageddon",Michael Bay,,,,,United States,1998
41,"Henry V",Laurence Olivier,,,,,United Kingdom,1944
42,"Fishing with John",John Lurie,,,,,United States,1992
43,"Lord of the Flies",Peter Brook,,,,,United Kingdom,1963
44,"The Red Shoes",Michael Powell,Emeric Pressburger,,,,United Kingdom,1948
45,"Taste of Cherry",Abbas Kiarostami,,,,,Iran,1997
46,"The Most Dangerous Game",Ernest B. Schoedsack,Irving Pichel,,,,United States,1932
47,"Insomnia",Erik Skjoldbjærg,,,,,Norway,1997
48,"Black Orpheus",Marcel Camus,,,,,France,1959
49,"Nights of Cabiria",Federico Fellini,,,,,Italy,1957
50,"And the Ship Sails On",Federico Fellini,,,,,Italy,1983
51,"Brazil",Terry Gilliam,,,,,United Kingdom,1985
52,"Yojimbo",Akira Kurosawa,,,,,Japan,1961
